groups,params,flops,inference_ms,train_time_s,best_acc
1,23705252,2621653192,1657.8716897964478,2277.5428438186646,67.29
2,18046628,2017673416,1524.334192276001,2106.4150688648224,69.5
4,15217316,1715683528,1480.3340005874634,2105.757917404175,67.7
8,13802660,1564688584,1459.1978883743286,2072.59153342247,68.46
